"","Scientific_Name","Common_Name","Taxon","Subtaxon","Lead_Region","State","Q_n","Question","Explanation","Source","Factor","Sensitive"
"2965","Peromyscus polionotus trissyllepsis","Mouse, Perdido Key beach","Vertebrate","Mammal","FWS Region 4: Southeast","FL",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"2966","Peromyscus polionotus trissyllepsis","Mouse, Perdido Key beach","Vertebrate","Mammal","FWS Region 4: Southeast","FL",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","""Major threat is loss/fragmentation of habitat and direct mortality as a result of tropical storms (Hollet 1992).""","NatureServe","Disturbance","Yes"
"2967","Peromyscus polionotus trissyllepsis","Mouse, Perdido Key beach","Vertebrate","Mammal","FWS Region 4: Southeast","FL",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""This subspecies is distributed on coastal dunes between Perdido Bay and Pensacola Bay, Alabama and Florida.""","recovery plan (http://ecos.fws.gov/docs/recovery_plan/870812.pdf)","Isolation","Yes"
"2968","Peromyscus polionotus trissyllepsis","Mouse, Perdido Key beach","Vertebrate","Mammal","FWS Region 4: Southeast","FL",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2969","Peromyscus polionotus trissyllepsis","Mouse, Perdido Key beach","Vertebrate","Mammal","FWS Region 4: Southeast","FL",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2970","Peromyscus polionotus trissyllepsis","Mouse, Perdido Key beach","Vertebrate","Mammal","FWS Region 4: Southeast","FL",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2971","Peromyscus polionotus trissyllepsis","Mouse, Perdido Key beach","Vertebrate","Mammal","FWS Region 4: Southeast","FL",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2973","Phoebastria albatrus","Albatross, short-tailed","Vertebrate","Bird","FWS Region 7: Alaska","AK, CA, HI, OR, WA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2974","Phoebastria albatrus","Albatross, short-tailed","Vertebrate","Bird","FWS Region 7: Alaska","AK, CA, HI, OR, WA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"2975","Phoebastria albatrus","Albatross, short-tailed","Vertebrate","Bird","FWS Region 7: Alaska","AK, CA, HI, OR, WA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Breeding colonies/nesting habitat are sensitive to catastrophic events such as large monsoon rain events that can result in mudslides and habitat loss for the species.","species recovery plan  (http://ecos.fws.gov/docs/recovery_plan/090520.pdf)","Disturbance","Yes"
"2976","Phoebastria albatrus","Albatross, short-tailed","Vertebrate","Bird","FWS Region 7: Alaska","AK, CA, HI, OR, WA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Nesting range has been restricted to several small isolated islands, and if warming shifts their prey base northward, that would ""increase the caloric expenditures of birds travelling to their foraging grounds."" However, ""climate change is not expected to affect breeding colonies through sea-level rise.""","species recovery plan  (http://ecos.fws.gov/docs/recovery_plan/090520.pdf)","Isolation","Yes"
"2977","Phoebastria albatrus","Albatross, short-tailed","Vertebrate","Bird","FWS Region 7: Alaska","AK, CA, HI, OR, WA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2978","Phoebastria albatrus","Albatross, short-tailed","Vertebrate","Bird","FWS Region 7: Alaska","AK, CA, HI, OR, WA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2979","Phoebastria albatrus","Albatross, short-tailed","Vertebrate","Bird","FWS Region 7: Alaska","AK, CA, HI, OR, WA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2980","Phoebastria albatrus","Albatross, short-tailed","Vertebrate","Bird","FWS Region 7: Alaska","AK, CA, HI, OR, WA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","""Perturbations of these oceanic parameters [circulation and upwelling patterns] may affect the availability of food for the short-tailed albatross and other marine birds.""","species recovery plan  (http://ecos.fws.gov/docs/recovery_plan/090520.pdf)","Obligate relationships","Yes"
"2982","Physa natricina","Snail, Snake River physa","Invertebrate","Mollusk","FWS Region 1: Pacific","ID",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","""The presence of impoundments and dams alters the temperature regime and the dynamics of the river, which may possibly affect this sensitive cold-water species.""  Like all gastropods, this species is sensitive to increases in water temperature.","http://fishandgame.idaho.gov/ifwis/cwcs/pdf/Snake%20River%20Physa.pdf","Temperature","Yes"
"2983","Physa natricina","Snail, Snake River physa","Invertebrate","Mollusk","FWS Region 1: Pacific","ID",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"2984","Physa natricina","Snail, Snake River physa","Invertebrate","Mollusk","FWS Region 1: Pacific","ID",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"2985","Physa natricina","Snail, Snake River physa","Invertebrate","Mollusk","FWS Region 1: Pacific","ID",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""Only three populations are believed to be extant (USFWS, 1995). Currently it is restricted to the Snake River (not in the tributaries) from the vicinity of Bliss to Hammett, Gooding Co., Idaho (Taylor, 2003)."" Impoundments an issue.","Natureserve","Isolation","Yes"
"2986","Physa natricina","Snail, Snake River physa","Invertebrate","Mollusk","FWS Region 1: Pacific","ID",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","""Potential threats include . . . competition from the introduced snail Potamopyrgus antipodarum (USFWS, 2005)."" ","Natureserve","Injurious species","Yes"
"2987","Physa natricina","Snail, Snake River physa","Invertebrate","Mollusk","FWS Region 1: Pacific","ID",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","""Potential threats include oxygen depletion from eutrophication, water pollution from agricultural runoff, irrigation, and competition from the introduced snail Potamopyrgus antipodarum (USFWS, 2005).""","Natureserve","Chemistry","Yes"
"2988","Physa natricina","Snail, Snake River physa","Invertebrate","Mollusk","FWS Region 1: Pacific","ID",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2989","Physa natricina","Snail, Snake River physa","Invertebrate","Mollusk","FWS Region 1: Pacific","ID",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2991","Physeter catodon","Whale, sperm","Vertebrate","Mammal","NMFS: Marine","Ak, CA, NC, PR, VA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","""Site selection for whale migration, feeding, and breeding for sperm whales, may be influenced by factors such as ocean currents and water temperature.  There is some evidence from Pacific equatorial waters that sperm whale feeding success and, in  turn, calf production rates are negatively affected by increases in sea surface temperature."" ","Species recovery plan (http://ecos.fws.gov/docs/recovery_plan/Sperm_whale_Recovery_Plan.pdf)","Temperature","Yes"
"2992","Physeter catodon","Whale, sperm","Vertebrate","Mammal","NMFS: Marine","Ak, CA, NC, PR, VA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"2993","Physeter catodon","Whale, sperm","Vertebrate","Mammal","NMFS: Marine","Ak, CA, NC, PR, VA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"2994","Physeter catodon","Whale, sperm","Vertebrate","Mammal","NMFS: Marine","Ak, CA, NC, PR, VA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","","","Isolation","No"
"2995","Physeter catodon","Whale, sperm","Vertebrate","Mammal","NMFS: Marine","Ak, CA, NC, PR, VA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2996","Physeter catodon","Whale, sperm","Vertebrate","Mammal","NMFS: Marine","Ak, CA, NC, PR, VA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Reduced prey base due to changes in ocean temperature and circulation is a potentially significant problem for the species.","species recovery plan (http://ecos.fws.gov/docs/recovery_plan/Sperm_whale_Recovery_Plan.pdf)","Chemistry","Yes"
"2997","Physeter catodon","Whale, sperm","Vertebrate","Mammal","NMFS: Marine","Ak, CA, NC, PR, VA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2998","Physeter catodon","Whale, sperm","Vertebrate","Mammal","NMFS: Marine","Ak, CA, NC, PR, VA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Diet is 80% squid but other 20% is array of species","NOAA","Obligate relationships","No"
"3000","Picoides borealis","Woodpecker, red-cockaded","Vertebrate","Bird","FWS Region 4: Southeast","AL, AR, FL, GA, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"3001","Picoides borealis","Woodpecker, red-cockaded","Vertebrate","Bird","FWS Region 4: Southeast","AL, AR, FL, GA, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"3002","Picoides borealis","Woodpecker, red-cockaded","Vertebrate","Bird","FWS Region 4: Southeast","AL, AR, FL, GA, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","""The open, park-like characteristic of the habitat is maintained by low intensity fires, which occurred historically during the growing season at intervals of about 1-10 years (Christensen 1981, SNN 1990). Furthermore, ""The isolated nature of existing populations makes catastrophic events [e.g. hurricanes] a cause for concern since natural recolonization is unlikely.""","Natureserve ","Disturbance","Yes"
"3003","Picoides borealis","Woodpecker, red-cockaded","Vertebrate","Bird","FWS Region 4: Southeast","AL, AR, FL, GA, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""The fragmentation and isolation of managed populations within the historic range of the species may threaten to reduce genetic diversity (Ligon et al. 1986) and increase the probabilities of extinction as a result of demographic and environmental fluctuations (Shaffer 1981, Walters 1991).""","Natureserve","Isolation","Yes"
"3004","Picoides borealis","Woodpecker, red-cockaded","Vertebrate","Bird","FWS Region 4: Southeast","AL, AR, FL, GA, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"3005","Picoides borealis","Woodpecker, red-cockaded","Vertebrate","Bird","FWS Region 4: Southeast","AL, AR, FL, GA, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"3006","Picoides borealis","Woodpecker, red-cockaded","Vertebrate","Bird","FWS Region 4: Southeast","AL, AR, FL, GA, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"3007","Picoides borealis","Woodpecker, red-cockaded","Vertebrate","Bird","FWS Region 4: Southeast","AL, AR, FL, GA, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Obligate to old-growth longleaf pine forests.","Natureserve","Obligate relationships","Yes"
"3009","Plagopterus argentissimus","Woundfin","Vertebrate","Fish","FWS Region 6: Mountain Prairie","AZ, NV, NM, UT",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","species has critcal and behavioral thermal maxima that makes it seek out shaded areas when too hot (at expense of other behaviors)","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc1908.pdf)","Temperature","Yes"
"3010","Plagopterus argentissimus","Woundfin","Vertebrate","Fish","FWS Region 6: Mountain Prairie","AZ, NV, NM, UT",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""Reduced base flows are of equal concern and likely threaten woundfin to varying degrees throughout critical habitat.""","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc1908.pdf)","Hydrology","Yes"
"3011","Plagopterus argentissimus","Woundfin","Vertebrate","Fish","FWS Region 6: Mountain Prairie","AZ, NV, NM, UT",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Habitat is sensitive to burning and flooding that increase runoff and sediment into river which degrades habitat for woundfin.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc1908.pdf)","Disturbance","Yes"
"3012","Plagopterus argentissimus","Woundfin","Vertebrate","Fish","FWS Region 6: Mountain Prairie","AZ, NV, NM, UT",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Species has been restricted to a very small portion of its original range due to habitat loss and degradation and because it cannot successfully inhabit areas where non-native red shiner is present","NatureServe","Isolation","Yes"
"3013","Plagopterus argentissimus","Woundfin","Vertebrate","Fish","FWS Region 6: Mountain Prairie","AZ, NV, NM, UT",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Non-native tamarisk ann  non-native red shiner are threats.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc1908.pdf)","Injurious species","Yes"
"3014","Plagopterus argentissimus","Woundfin","Vertebrate","Fish","FWS Region 6: Mountain Prairie","AZ, NV, NM, UT",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Species issensitive to changes in dissolved oxygen -- lower levels of DO have resulted in fish kills in the past.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc1908.pdf)","Chemistry","Yes"
"3015","Plagopterus argentissimus","Woundfin","Vertebrate","Fish","FWS Region 6: Mountain Prairie","AZ, NV, NM, UT",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"3016","Plagopterus argentissimus","Woundfin","Vertebrate","Fish","FWS Region 6: Mountain Prairie","AZ, NV, NM, UT",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"3018","Plebejus shasta charlestonensis","Butterfly, Mt. Charleston blue","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","NV",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"3019","Plebejus shasta charlestonensis","Butterfly, Mt. Charleston blue","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","NV",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Can be affected by both extended rainfall during flight season, and by drought impacts to food plants","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-09-19/pdf/2013-22702.pdf)","Hydrology","Yes"
"3020","Plebejus shasta charlestonensis","Butterfly, Mt. Charleston blue","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","NV",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Needs periodic fire to maintain open cover; but threatened by uncharacteristic large fire.","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-09-19/pdf/2013-22702.pdf)","Disturbance","Yes"
"3021","Plebejus shasta charlestonensis","Butterfly, Mt. Charleston blue","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","NV",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Lives at high elevations in the Spring Mountains.","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-09-19/pdf/2013-22702.pdf)","Isolation","Yes"
"3022","Plebejus shasta charlestonensis","Butterfly, Mt. Charleston blue","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","NV",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"3023","Plebejus shasta charlestonensis","Butterfly, Mt. Charleston blue","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","NV",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"3024","Plebejus shasta charlestonensis","Butterfly, Mt. Charleston blue","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","NV",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","""Observations indicate that above- or below-average precipitation, coupled with above- or below-average temperatures, influence the phenology of this subspecies (Weiss et al. 1997, pp. 2–3 and 32; Boyd and Austin 1999, p. 8) and are likely responsible for the fluctuation in population numbers from year to year (Weiss et al. 1997, pp. 2–3 and 31–32).""","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-09-19/pdf/2013-22702.pdf)","Phenology","Yes"
"3025","Plebejus shasta charlestonensis","Butterfly, Mt. Charleston blue","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","NV",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","One host plant certain, two others probable, all in same genus.","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-09-19/pdf/2013-22702.pdf)","Obligate relationships","Yes"
"3027","Plethobasus cicatricosus","Pearlymussel, white wartyback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, KY, TN",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Species is sensitive to increased temperatures.","NatureServe","Temperature","Yes"
"3028","Plethobasus cicatricosus","Pearlymussel, white wartyback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, KY, TN",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species is sensitive to drought and desiccation as well as changes in flow.","NatureServe","Hydrology","Yes"
"3029","Plethobasus cicatricosus","Pearlymussel, white wartyback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, KY, TN",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Highly sensitive to siltation.","NatureServe","Disturbance","Yes"
"3030","Plethobasus cicatricosus","Pearlymussel, white wartyback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, KY, TN",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Historically, this species was widely distributed in the Ohio, Cumberland, and Tennessee drainages.","NatureServe","Isolation","No"
"3031","Plethobasus cicatricosus","Pearlymussel, white wartyback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, KY, TN",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","If zebra mussels make their way into smaller streams they have potential to severely impact the species.","NatureServe","Injurious species","Yes"
"3032","Plethobasus cicatricosus","Pearlymussel, white wartyback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, KY, TN",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Species is sensitive to reductions in dissolved oxygen.","NatureServe","Chemistry","Yes"
"3033","Plethobasus cicatricosus","Pearlymussel, white wartyback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, KY, TN",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"3034","Plethobasus cicatricosus","Pearlymussel, white wartyback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, KY, TN",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Glochidial host unknown.","NatureServe","Obligate relationships","Unknown"
"3036","Plethobasus cooperianus","Pearlymussel, orange-foot pimpleback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, IL, KY, TN",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Species is sensitive to ""increased water temperatures.""","NatureServe","Temperature","Yes"
"3037","Plethobasus cooperianus","Pearlymussel, orange-foot pimpleback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, IL, KY, TN",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species is sensitive to changes in flow, drought, and desiccation.","NatureServe","Hydrology","Yes"
"3038","Plethobasus cooperianus","Pearlymussel, orange-foot pimpleback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, IL, KY, TN",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"3039","Plethobasus cooperianus","Pearlymussel, orange-foot pimpleback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, IL, KY, TN",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Historical range extended from Pennsylvania to Alabama.","ECOS species profile","Isolation","No"
"3040","Plethobasus cooperianus","Pearlymussel, orange-foot pimpleback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, IL, KY, TN",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Zebra mussels","NatureServe","Injurious species","Yes"
"3041","Plethobasus cooperianus","Pearlymussel, orange-foot pimpleback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, IL, KY, TN",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Species is sensitive to reduced levels of dissolved oxygen and other water quality factors.","NatureServe","Chemistry","Yes"
"3042","Plethobasus cooperianus","Pearlymussel, orange-foot pimpleback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, IL, KY, TN",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"3043","Plethobasus cooperianus","Pearlymussel, orange-foot pimpleback","Invertebrate","Mollusk","FWS Region 4: Southeast","AL, IL, KY, TN",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","The glochidial host is not known.","NatureServe","Obligate relationships","Unknown"
"3045","Plethobasus cyphyus","Mussel, sheepnose","Invertebrate","Mollusk","FWS Region 3: Midwest","AL, IL, IN IA, KY, MN, MS, MO, OH, PA, VA, WV, WI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","""Therefore, altered water temperatures is an imminent threat to sheepnose and spectaclecase with moderate to high magnitude, depending the timing of temperature changes and the thermal limits and stage in each species’ development.""","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2012-03-13/pdf/2012-5603.pdf)","Temperature","Yes"
"3046","Plethobasus cyphyus","Mussel, sheepnose","Invertebrate","Mollusk","FWS Region 3: Midwest","AL, IL, IN IA, KY, MN, MS, MO, OH, PA, VA, WV, WI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"3047","Plethobasus cyphyus","Mussel, sheepnose","Invertebrate","Mollusk","FWS Region 3: Midwest","AL, IL, IN IA, KY, MN, MS, MO, OH, PA, VA, WV, WI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Highly sensitive to sedimentation (a major cause of decline).","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2012-03-13/pdf/2012-5603.pdf)","Disturbance","Yes"
"3048","Plethobasus cyphyus","Mussel, sheepnose","Invertebrate","Mollusk","FWS Region 3: Midwest","AL, IL, IN IA, KY, MN, MS, MO, OH, PA, VA, WV, WI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""Many of the extant populations are disjunct, isolated, and appear to be declining. However, it historically occurred across a very large area in multiple river systems.","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2012-03-13/pdf/2012-5603.pdf)","Isolation","No"
"3049","Plethobasus cyphyus","Mussel, sheepnose","Invertebrate","Mollusk","FWS Region 3: Midwest","AL, IL, IN IA, KY, MN, MS, MO, OH, PA, VA, WV, WI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"3050","Plethobasus cyphyus","Mussel, sheepnose","Invertebrate","Mollusk","FWS Region 3: Midwest","AL, IL, IN IA, KY, MN, MS, MO, OH, PA, VA, WV, WI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Sensitive to reduction in dissolved oxygen.","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2012-03-13/pdf/2012-5603.pdf)","Chemistry","Yes"
